surface	gold_lemma	gold_asp	gold_ten	gold_mood	gold_gen	gold_num	gold_per	vtype	confidence	cpos	failure_type	n_predicted	pred_lemmas	file	line_no
कहते	कह	imperfective			M	S		participle	low	VM	wrong_features	2	कह|कहत	file-andhe_ki_lathi-1507111038.dat	3
छूआ	छू	perfective			M	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	6
होकर	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	10
होकर	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	14
रह	रह					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	19
हो	है							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	24
हैं	है		present			P	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	30
बैठ	बैठ					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	34
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	39
हो	हो					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	44
खेलाया	खेला	perfective				S	1	participle	low	VM	wrong_features	2	खेला|खेलाय	file-andhe_ki_lathi-1507111038.dat	50
बख्शा	बख्श	perfective				S	3	participle	low	VM	wrong_features	1	बख्श	file-andhe_ki_lathi-1507111038.dat	58
मिट	मिट					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	60
मिट	मिट					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	65
हूं	है		present			S	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	70
है	है		present			S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	75
बताओ	बता			imperative		S	2	finite	low	VM	wrong_features	1	बता	file-andhe_ki_lathi-1507111038.dat	79
आना	आ					S		participle	low	VM	wrong_lemma	1	आन	file-andhe_ki_lathi-1507111038.dat	82
कट	कट				M	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	88
भोग	भोग					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	96
सुनकर	सुन							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	101
भर	भर					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	104
रोकते	रोक	imperfective			M	S		participle	low	VM	wrong_features	2	रोक|रोकत	file-andhe_ki_lathi-1507111038.dat	111
भोग	भोग				M	S	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	115
करवाकर	कर							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	125
हड़पकर	हडप							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	129
बना	बना					S		participle	low	VM	wrong_lemma	1	बन	file-andhe_ki_lathi-1507111038.dat	136
रचे	रच	perfective				S	3	participle	low	VM	wrong_features	1	रच	file-andhe_ki_lathi-1507111038.dat	141
फंस	फँस					S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	143
कर	कर					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	149
बो	बो					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	158
खा	खा					S	2	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	164
हो	हो				M	S	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	170
उखाड़	उखाड					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	174
खा	खा							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	176
गये	जा	perfective			M	S	2	irregular	high	VM	wrong_features	2	जा|गय	file-andhe_ki_lathi-1507111038.dat	177
आये	आ	perfective				S	2	participle	low	VM	wrong_lemma	1	आय	file-andhe_ki_lathi-1507111038.dat	182
खुला	खुल	perfective			M	S	3	participle	low	VM	wrong_features	1	खुल	file-andhe_ki_lathi-1507111038.dat	191
हो	हो				M	P	3	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	195
लगवाकर	लग							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	204
हड़प	हडप					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	205
हुई	हो	perfective			F	S		participle	low	VM	wrong_lemma	1	हु	file-andhe_ki_lathi-1507111038.dat	214
हो	हो				M	S	1	unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	219
