word	paradigm_class	confidence	probability
अँचार	M2	predicted_high	0.9492
अंजोर	M2	predicted_high	0.9071
अंतरिंद्रिय	M2	predicted_high	0.9040
अंतरीप	M2	predicted_medium	0.7579
अकरास	M2	predicted_medium	0.7227
अक्षत	M2	predicted_medium	0.7538
अगियासन	M2	predicted_medium	0.7666
अग्निद	M2	predicted_high	0.9502
अग्निहोत्र	M2	predicted_high	0.9916
अग्न्यस्त्र	M2	predicted_high	0.8448
अग्रिम	M2	predicted_high	0.9810
अघ्यक्ष	M2	predicted_high	0.9941
अचक्रित	M2	predicted_high	0.8599
अज	M2	predicted_high	0.8560
अजगव	M2	predicted_high	0.9549
अजीरन	M2	predicted_high	0.8327
अटक	M2	predicted_high	0.8907
अतर	M2	predicted_high	0.8689
अत्तार	M2	predicted_high	0.8653
अदंभ	M2	predicted_medium	0.6923
अदद	M2	predicted_medium	0.7057
अद्य	M2	predicted_medium	0.7278
अधम	M2	predicted_medium	0.7289
अनवट	M2	predicted_medium	0.7794
अनार्यक	M2	predicted_high	0.8799
अपराधीकरण	M2	predicted_high	0.8255
अपस्कर	M2	predicted_high	0.9769
अप्रसार	M2	predicted_high	0.8070
अप्सरेश	M2	predicted_high	0.9558
अबाबील	M2	predicted_medium	0.7758
अबेर	M2	predicted_high	0.9006
अभियोजक	M2	predicted_high	0.9918
अभिसार	M2	predicted_high	0.9591
अभिहवन	M2	predicted_high	0.9676
अभ्यंतर	M2	predicted_high	0.9692
अमरूत	M2	predicted_medium	0.7701
अमसूल	M2	predicted_medium	0.6814
अयस्कार	M2	predicted_high	0.9962
अयाल	M2	predicted_high	0.9331
अरंड	M2	predicted_high	0.8583
अरहट्ठ	M2	predicted_high	0.8591
अराध्य	M2	predicted_high	0.8043
अर्थलंकार	M2	predicted_high	0.9799
अर्द्ध	M2	predicted_high	0.9276
अर्द्धशतक	M2	predicted_high	0.9873
अर्ध	M2	predicted_high	0.8670
अर्धसैनिक	M2	predicted_high	0.9621
अर्बुद	M2	predicted_high	0.8534
अलकेश	M2	predicted_medium	0.6942
अलर्क	M2	predicted_high	0.8775
अलाप	M2	predicted_high	0.8046
अलिंद	M2	predicted_high	0.8341
अल्पांश	M2	predicted_high	0.9423
अवमानन	M2	predicted_medium	0.7809
अविचारण	M2	predicted_high	0.9310
अविष्कारक	M2	predicted_high	0.9676
अश्वानीक	M2	predicted_high	0.9942
अश्वारोहण	M2	predicted_high	0.9950
अह	M2	predicted_high	0.9101
अहसान	M2	predicted_high	0.9621
अहिफेन	M2	predicted_medium	0.7375
अहुरमज्द	M2	predicted_high	0.9227
अडार	M2	predicted_high	0.8050
आँव	M2	predicted_high	0.8155
आँवल	M2	predicted_high	0.8382
आइज़	M2	predicted_medium	0.6557
आउटसोर्सिंग	F3	predicted_medium	0.7136
आकबत	F3	predicted_high	0.8440
आकलक	F3	predicted_medium	0.7449
आक्रोष	M2	predicted_high	0.9346
आगणक	M2	predicted_medium	0.7764
आचवन	M2	predicted_high	0.8345
आज-कल	F3	predicted_medium	0.6881
आडिट	M2	predicted_medium	0.7170
आत्मज	M2	predicted_high	0.8923
आत्मनिग्रह	M2	predicted_high	0.9227
आत्मसाक्षात्कार	M2	predicted_high	0.9932
आत्मानुशासन	M2	predicted_high	0.9510
आत्मालोचन	M2	predicted_high	0.9563
आद्यशेष	M2	predicted_high	0.8212
आधारपृष्ठ	M2	predicted_high	0.9757
आप	F3	predicted_medium	0.6541
आपातकाल	F3	predicted_medium	0.6672
आप्रवास	F3	predicted_medium	0.6707
आमतौर	F3	predicted_high	0.8315
आमलक	F3	predicted_medium	0.6840
आमातिसार	F3	predicted_medium	0.6857
आमिषाहार	M2	predicted_high	0.8368
आमुख	M2	predicted_high	0.8158
आयत	F3	predicted_medium	0.7307
आयतुल्लाह	F3	predicted_medium	0.6975
आयस	M2	predicted_medium	0.7624
आयातक	M2	predicted_high	0.9316
आयोजित	F3	predicted_high	0.8009
आरस	M2	predicted_medium	0.6830
आरोग्यभवन	M2	predicted_high	0.9571
आलपीन	F3	predicted_high	0.8358
आलवाल	F3	predicted_medium	0.7580
आलाकमान	F3	predicted_high	0.8244
आलेप	M2	predicted_high	0.8029
आलोक	M2	predicted_medium	0.6787
आवरणपत्र	M2	predicted_high	0.9846
आवेग	M2	predicted_medium	0.7708
आवेदक	M2	predicted_high	0.9237
आवेश	M2	predicted_high	0.8592
आव्हान	M2	predicted_high	0.9620
आशंकापूर्ण	M2	predicted_high	0.9509
आशंकित	M2	predicted_medium	0.7756
आशिक़	M2	predicted_high	0.8783
आशीष	M2	predicted_high	0.9223
आशुतोश	M2	predicted_high	0.8941
आश्रमिक	M2	predicted_high	0.9574
आसाम	F3	predicted_medium	0.6880
आह	M2	predicted_medium	0.7636
आहारविद्	M2	predicted_high	0.9667
आक़बत	F3	predicted_high	0.8544
इंजैक्शन	M2	predicted_high	0.8741
इंतहापसंद	M2	predicted_medium	0.7622
इंदीवर	M2	predicted_high	0.9288
इंदुर	F3	predicted_medium	0.7760
इंद्रजीत	F3	predicted_medium	0.7767
इंद्रसुत	M2	predicted_medium	0.6668
इंद्रायन	F3	predicted_medium	0.7586
इंध	F3	predicted_medium	0.6506
इंश्योरेंस	M2	predicted_high	0.8681
इंसाफ़	M2	predicted_medium	0.7003
इक	M2	predicted_medium	0.6522
इखितियार	F3	predicted_high	0.8465
इग्यारह	M2	predicted_high	0.9027
इजाज़त	F3	predicted_medium	0.7774
इतराहट	F3	predicted_high	0.9682
इत्तेफाक़	M2	predicted_medium	0.6803
इत्मीनान	M2	predicted_high	0.8330
इध्म	F3	predicted_medium	0.6664
इनकार	M2	predicted_medium	0.7241
इनसानियत	F3	predicted_high	0.9936
इन्कलाब	M2	predicted_medium	0.7127
इन्साफ़	M2	predicted_medium	0.6563
इबादतगाह	F3	predicted_high	0.8385
इमाद	F3	predicted_medium	0.7555
इम्तेहान	M2	predicted_high	0.8901
इम्पोर्ट	M2	predicted_medium	0.7681
इलेक्टौन	M2	predicted_medium	0.6956
इल्ज़ाम	M2	predicted_high	0.9748
इश्तिहार	M2	predicted_high	0.9710
इश्क़	M2	predicted_high	0.9034
इसबार	M2	predicted_high	0.9393
इसलाम	M2	predicted_medium	0.7935
इसाम	M2	predicted_medium	0.6943
इहलोक	M2	predicted_high	0.8815
इख़ितियार	F3	predicted_medium	0.7867
ईदगाह	F3	predicted_high	0.8562
ईदैन	F3	predicted_high	0.8149
ईवल्युशन	M2	predicted_high	0.9311
ईसामसीह	F3	predicted_high	0.8745
उंचन	M2	predicted_medium	0.6640
उकलाहट	F3	predicted_high	0.9445
उग्रसेन	M2	predicted_high	0.9184
उग्रसेनज	M2	predicted_high	0.8318
उच्च	M2	predicted_high	0.9262
उच्चायोग	M2	predicted_high	0.9902
उच्चार	M2	predicted_high	0.9888
उच्छलन	M2	predicted_high	0.9411
उछल	M2	predicted_medium	0.7168
उछलन	M2	predicted_medium	0.6597
उठक	M2	predicted_medium	0.7248
उठापटक	M2	predicted_medium	0.7940
उतरन	M2	predicted_medium	0.6767
उतरान	M2	predicted_medium	0.7040
उतराव	M2	predicted_medium	0.7027
उत्कुण	M2	predicted_high	0.9920
उत्क्लेश	M2	predicted_high	0.9499
उत्तरपत्रक	M2	predicted_high	0.8996
उत्तरांचल	M2	predicted_high	0.9695
उत्तराभाद्रपद	M2	predicted_medium	0.7653
उत्पादनालय	M2	predicted_high	0.9986
उत्सर्जन	M2	predicted_high	0.9490
उथल	M2	predicted_medium	0.6765
उदजन	M2	predicted_medium	0.7641
उदात्तीकरण	F3	predicted_high	0.8927
उद्दंश	F3	predicted_high	0.9433
उद्भिज	F3	predicted_high	0.9355
उद्भिज्ज	F3	predicted_high	0.9547
उद्भिद	F3	predicted_high	0.9534
उन्नयन	M2	predicted_medium	0.6664
उन्निद्र	M2	predicted_high	0.8028
उपउच्चायुक्त	M2	predicted_high	0.9981
उपकप्तान	M2	predicted_high	0.9823
उपक्रोश	M2	predicted_high	0.9973
उपचारक	M2	predicted_high	0.9886
उपचुनाव	M2	predicted_high	0.9800
उपजात	M2	predicted_high	0.8081
उपदान	M2	predicted_high	0.9400
उपनिदेशक	M2	predicted_high	0.9984
उपन्यायाधीश	M2	predicted_high	0.9758
उपन्यासकार	M2	predicted_high	0.9944
उपप्रमुख	M2	predicted_high	0.9950
उपमालंकार	M2	predicted_high	0.9779
उपरत्न	M2	predicted_high	0.9865
उपविभाग	M2	predicted_high	0.9903
उपसचिव	M2	predicted_high	0.9910
उपसागर	M2	predicted_high	0.9613
उपसाधक	M2	predicted_high	0.9701
उपानह	M2	predicted_high	0.9787
उपान्त	M2	predicted_high	0.9721
उपास	M2	predicted_high	0.9535
उपासनालय	M2	predicted_high	0.9938
उर	M2	predicted_medium	0.7387
उरंग	M2	predicted_high	0.8344
उरोज	M2	predicted_high	0.8037
उर्स	M2	predicted_medium	0.7920
उलंघन	M2	predicted_high	0.9484
उलट	M2	predicted_medium	0.7187
उलटफेर	M2	predicted_high	0.8717
उल्कापिंड	M2	predicted_high	0.9505
उल्काश्म	M2	predicted_high	0.9966
उल्थाकार	M2	predicted_high	0.9620
उल्लाल	M2	predicted_high	0.9294
उशीर	M2	predicted_high	0.9350
उष्णीस	M2	predicted_high	0.9250
उष्मज	M2	predicted_medium	0.7858
उसाँस	F3	predicted_medium	0.7369
उस्वाँस	M2	predicted_medium	0.7234
उहार	M2	predicted_high	0.8880
ऊषानाथ	M2	predicted_high	0.8162
ऊषारमण	M2	predicted_medium	0.7722
ऊसर	M2	predicted_high	0.8736
ऋग्वेद	M2	predicted_high	0.9246
एअंड	M2	predicted_high	0.8144
एकतान	F3	predicted_medium	0.7707
एकस्वकृत	F3	predicted_medium	0.7788
एकाउन्टेंट	M2	predicted_high	0.8963
एकाग्रचित्त	M2	predicted_high	0.9536
एकात्मवाद	M2	predicted_high	0.8794
एकादश	F3	predicted_medium	0.7157
एक्जिक्युटिव	M2	predicted_high	0.9361
एक्टर	M2	predicted_high	0.8581
एक्सीडेंट	F3	predicted_high	0.9816
एफीडेविट	F3	predicted_medium	0.7137
एलाउन्स	M2	predicted_high	0.9578
एवज़	M2	predicted_high	0.8722
ऐंटिसेप्टिक	M2	predicted_medium	0.7007
ऐलान	M2	predicted_medium	0.7659
ओटर	M2	predicted_medium	0.7017
ओप	F3	predicted_medium	0.6814
ओम	F3	predicted_medium	0.7074
ओवरसियर	M2	predicted_medium	0.7492
ओषजन	M2	predicted_medium	0.7516
ओढन	F3	predicted_medium	0.7975
ओढावन	F3	predicted_medium	0.7141
औक्सीजन	F3	predicted_high	0.9053
औचित्य	M2	predicted_medium	0.7066
औद्योगीकरण	M2	predicted_high	0.8024
औनचन	F3	predicted_medium	0.7473
कंकर	M2	predicted_medium	0.6521
कंट्रोल	M2	predicted_medium	0.7864
कंठ्य	M2	predicted_medium	0.6740
कंडाल	M2	predicted_high	0.8926
कंपास	F3	predicted_medium	0.6637
कंपोस्ट	M2	predicted_medium	0.7698
कंबुक	F3	predicted_high	0.8046
कक्षानायक	M2	predicted_medium	0.7423
कचकचाहट	F3	predicted_high	0.9924
कचकड	F3	predicted_medium	0.7790
कचूर	F3	predicted_medium	0.7277
कच्छप	F3	predicted_high	0.8349
कटन	F3	predicted_high	0.8644
कटोरदान	F3	predicted_medium	0.7152
कट्टम	F3	predicted_medium	0.6922
कठौत	F3	predicted_medium	0.7780
कतर	F3	predicted_medium	0.7427
कतवार	F3	predicted_medium	0.7177
कथक	F3	predicted_high	0.8394
कथकीकर	F3	predicted_high	0.8853
कदर	F3	predicted_medium	0.7811
कदरदान	F3	predicted_medium	0.7414
कद्दुकश	F3	predicted_high	0.9627
कद्दुकस	F3	predicted_high	0.9732
कद्रदान	F3	predicted_high	0.8898
कद्रुज	F3	predicted_high	0.9532
कद्रुसुत	F3	predicted_high	0.9807
कनटोप	F3	predicted_medium	0.7683
कनपेड	F3	predicted_high	0.8651
कनफेड	F3	predicted_medium	0.6975
कन्द	F3	predicted_high	0.9171
कन्नड	F3	predicted_high	0.8515
कपोतक	M2	predicted_high	0.9143
कपोतव्रत	M2	predicted_high	0.9490
कफज्वर	F3	predicted_medium	0.6613
कबंद	F3	predicted_medium	0.6659
