word	paradigm_class	confidence
अँकटी	F1	certain
अँकडा	M1	heuristic
अँकवार	M2	certain
अँकसी	F1	heuristic
अँकुसी	F1	heuristic
अँकुड़ा	M1	certain
अँकुड़ी	F1	certain
अँकड़ी	F1	certain
अँगना	M1	certain
अँगरखा	M1	certain
अँगरेज	M2	certain
अँगरेजी	M3	certain
अँगिका	F2	certain
अँगिया	F1	certain
अँगीठी	F1	certain
अँगुरिया	F1	certain
अँगूठा	M1	certain
अँगूठी	F1	certain
अँगेठी	F1	heuristic
अँग्रेज़	M2	certain
अँगड़ाई	F4	certain
अँचरा	M1	heuristic
अँटी	F1	certain
अँडिया	F1	certain
अँतड़ी	F1	certain
अँधियारा	M1	certain
अँधेरा	M1	certain
अँसुवन	M2	certain
अंक	M2	certain
अंकक	M2	certain
अंकन	F3	certain
अंकपत्र	M2	certain
अंकशास्त्र	M2	certain
अंकावतार	M2	certain
अंकितमूल्य	M2	certain
अंकित्र	M2	certain
अंकुर	M2	certain
अंकुरण	M2	certain
अंकुश	M2	certain
अंकुस	M2	certain
अंकुड़ा	M1	certain
अंकेक्षक	M2	certain
अंग	M2	certain
अंगक्रिया	F2	certain
अंगचारी	M3	certain
अंगच्छेद	M2	certain
अंगछेद	M2	certain
अंगछेदन	M2	certain
अंगत्राण	M2	certain
अंगद	M2	certain
अंगधारी	M3	certain
अंगन	M2	certain
अंगना	F2	certain
अंगभंग	F3	certain
अंगरक्षक	M2	certain
अंगरक्षा	F2	certain
अंगरक्षी	M3	certain
अंगराग	M2	certain
अंगरेज	M2	certain
अंगरेजी	M3	certain
अंगलेट	F3	certain
अंगहार	F3	certain
अंगहीन	M2	certain
अंगा	M1	certain
अंगांगिभाव	M2	certain
अंगानुभूति	F4	certain
अंगार	M2	certain
अंगारक	M2	certain
अंगारा	M1	certain
अंगारिका	F2	certain
अंगारी	F1	certain
अंगिरस	M2	certain
अंगिरा	M1	certain
अंगीकरण	M2	certain
अंगीकार	M2	certain
अंगीक्त्र्‍ति	F4	certain
अंगुर	M2	certain
अंगुरी	F1	certain
अंगुल	M2	certain
अंगुलि	F4	certain
अंगुलिका	F2	certain
अंगुली	F1	certain
अंगुश्ताना	M1	certain
अंगुष्ठ	M2	certain
अंगुष्ठिका	F2	certain
अंगूठी	F1	heuristic
अंगूर	M2	certain
अंगूरीबेल	F3	certain
अंगूरीशराब	F3	certain
अंगोछा	M1	certain
अंग्रेज	M2	certain
अंग्रेजी	M3	certain
अंग्रेज़ी	M3	certain
अंघडा	M1	heuristic
अंचल	M2	certain
अंचवन	M2	certain
अंजन	M2	certain
अंजनहारी	M3	certain
अंजना	F2	certain
अंजनी	F1	certain
अंजनीनंदन	F3	certain
अंजल	M2	certain
अंजलि	F4	certain
अंजलिक	M2	certain
अंजलिका	F2	certain
अंजली	F1	certain
अंजही	F1	heuristic
अंजाम	M2	certain
अंजीर	M2	certain
अंजुमन	M2	certain
अंजुली	F1	certain
अंजोरा	M1	heuristic
अंजोरी	F1	certain
अंटा	M1	certain
अंटी	F1	certain
अंटीमार	M2	certain
अंड	M2	certain
अंडकोश	M2	certain
अंडकोष	M2	certain
अंडग्रंथि	F4	certain
अंडबंड	M2	certain
अंडरवियर	F3	certain
अंडवृत्त	M2	certain
अंडा	M1	certain
अंडाशय	M2	certain
अंडी	F1	certain
अंत	F3	certain
अंतःकथा	F2	certain
अंतःकरण	M2	certain
अंतःकलह	M2	certain
अंतःपरिधि	F4	certain
अंतःपुर	M2	certain
अंतःप्रज्ञा	F2	certain
अंतःशुद्धि	F4	certain
