surface	gold_lemma	gold_asp	gold_ten	gold_mood	gold_gen	gold_num	gold_per	vtype	confidence	cpos	failure_type	n_predicted	pred_lemmas	file	line_no
कहते	कह				M	S		participle	low	VM	wrong_features	2	कह|कहत	file-andhe_ki_lathi-1507111038.dat	3
छूआ	छू				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	6
होकर	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	10
होकर	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	14
रह	रह					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	19
हो	है							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	24
हैं	है					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	30
बैठ	बैठ					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	34
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	39
हो	हो					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	44
मिट	मिट					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	60
मिट	मिट					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	65
हूं	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	70
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	75
बताओ	बता					S		finite	low	VM	wrong_features	1	बता	file-andhe_ki_lathi-1507111038.dat	79
आना	आ					S		participle	low	VM	wrong_lemma	1	आन	file-andhe_ki_lathi-1507111038.dat	82
कट	कट				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	88
भोग	भोग					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	96
सुनकर	सुन							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	101
भर	भर					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	104
रोकते	रोक				M	S		participle	low	VM	wrong_features	2	रोक|रोकत	file-andhe_ki_lathi-1507111038.dat	111
भोग	भोग				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	115
करवाकर	कर							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	125
हड़पकर	हडप							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	129
बना	बना					S		participle	low	VM	wrong_lemma	1	बन	file-andhe_ki_lathi-1507111038.dat	136
रचे	रच					S		participle	low	VM	wrong_features	1	रच	file-andhe_ki_lathi-1507111038.dat	141
फंस	फँस					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	143
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	149
बो	बो					P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	158
खा	खा					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	164
हो	हो				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	170
उखाड़	उखाड					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	174
खा	खा							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	176
गये	जा				M	S		irregular	high	VM	wrong_features	2	जा|गय	file-andhe_ki_lathi-1507111038.dat	177
आये	आ					S		participle	low	VM	wrong_lemma	1	आय	file-andhe_ki_lathi-1507111038.dat	182
हो	हो				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	195
लगवाकर	लग							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	204
हड़प	हडप					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	205
हुई	हो				F	S		participle	low	VM	wrong_lemma	1	हु	file-andhe_ki_lathi-1507111038.dat	214
हो	हो				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	219
था	था				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	233
होकर	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	243
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	245
तोड़	तोड					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	251
बैठे	बैठ					S		participle	low	VM	wrong_features	1	बैठ	file-andhe_ki_lathi-1507111038.dat	269
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	279
मिल	मिल				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	285
जानते	जान				M	S		participle	low	VM	wrong_features	2	जान|जानत	file-andhe_ki_lathi-1507111038.dat	289
फेंक	फेंक					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	291
आयी	आ				F	P		participle	low	VM	wrong_lemma	1	आय	file-andhe_ki_lathi-1507111038.dat	294
तोड़	तोड					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	310
पा	पा				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	319
भोग	भोग					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	328
हड़प	हडप							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	333
बने	बन					S		participle	low	VM	wrong_features	1	बन	file-andhe_ki_lathi-1507111038.dat	334
भोग	भोग					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	337
सिधार	सिधार					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	352
जी	जी				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	358
आ	आ				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	365
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	372
खा	खा				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	379
NULL	null							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	384
खाय	खा					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	399
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	406
लेकर	ले							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	427
देते	दे				M	S		participle	low	VM	wrong_features	2	दे|देत	file-andhe_ki_lathi-1507111038.dat	429
हो	हो				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	440
हड़पकर	हडप							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	444
भोग	भोग				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	454
जानकर	जान							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	471
खुली	खुल				F	P		participle	low	VM	wrong_features	1	खुल	file-andhe_ki_lathi-1507111038.dat	474
देखो	देख					S		finite	low	VM	wrong_features	1	देख	file-andhe_ki_lathi-1507111038.dat	480
था	था				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	485
देगा	दे				M	S		participle	low	VM	wrong_lemma	1	देग	file-andhe_ki_lathi-1507111038.dat	490
काट	काट							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	496
बन	बन					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	499
भटक	भटक					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	504
कर	कर					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	511
आ	आ				M	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	517
आकर	आ							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	526
ढकेल	ढकेल					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	536
हो	हो							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	543
छीन	छीन							unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	553
बना	बना				M	S		participle	low	VM	wrong_lemma	1	बन	file-andhe_ki_lathi-1507111038.dat	557
छिन	छिन				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	564
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	578
हो	हो				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	596
है	है					S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	600
छीन	छीन				F	S		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	616
टपक	टपक				M	P		unknown	none	VM	no_analysis	0		file-andhe_ki_lathi-1507111038.dat	623
