word	paradigm_class	confidence	probability
# These entries have p < 0.65 — barely above chance.
# Do NOT add to the lexicon without manual verification.
अंपायरिंग	M2	predicted_low	0.6300
अखात	F3	predicted_low	0.6246
अनिश्चितकाल	F3	predicted_low	0.6148
अमराधिप	F3	predicted_low	0.5886
अर्हत	M2	predicted_low	0.5772
अलगाववाद	M2	predicted_low	0.6207
आद्रक	F3	predicted_low	0.5880
आपत्काल	M2	predicted_low	0.5513
आपत्तिकाल	F3	predicted_low	0.5725
आभामंडल	M2	predicted_low	0.6418
आरंभ	M2	predicted_low	0.5869
आराधक	M2	predicted_low	0.6047
आरामगाह	F3	predicted_low	0.5916
आरेख	F3	predicted_low	0.5771
आलाप	F3	predicted_low	0.5542
आवाम	F3	predicted_low	0.5815
आस्तिकतावाद	F3	predicted_low	0.6448
आहनगर	M2	predicted_low	0.6261
इंकार	M2	predicted_low	0.6260
इंगित	F3	predicted_low	0.6056
इंजैकशन	M2	predicted_low	0.6029
इंतकाल	M2	predicted_low	0.6097
इंद्रचाप	M2	predicted_low	0.6438
इंद्रजाल	F3	predicted_low	0.5745
इंद्रदेव	M2	predicted_low	0.5970
इंधन	F3	predicted_low	0.6028
इगारह	M2	predicted_low	0.5873
इत्तफ़ाक़	F3	predicted_low	0.6467
इभराज	M2	predicted_low	0.5987
इमीग्रेशन	F3	predicted_low	0.6389
इज़्ज़त	M2	predicted_low	0.5870
उगलदान	M2	predicted_low	0.6035
उछलकूद	F3	predicted_low	0.5787
उठंगन	M2	predicted_low	0.5770
उठन	F3	predicted_low	0.6119
उत्तरभाद्रपद	M2	predicted_low	0.6351
उदगम	F3	predicted_low	0.6092
उदारीकरण	F3	predicted_low	0.6329
उदुंबर	F3	predicted_low	0.6160
उद्धव	F3	predicted_low	0.5785
उमड	M2	predicted_low	0.5719
उर्फ	M2	predicted_low	0.5875
उष्माघात	M2	predicted_low	0.5722
उज़बक	F3	predicted_low	0.6439
उढावन	M2	predicted_low	0.5581
ऊतक	M2	predicted_low	0.6188
ऊद	F3	predicted_low	0.6127
ऊहापोह	M2	predicted_low	0.6087
ऋक्	M2	predicted_low	0.5648
ऋग्	M2	predicted_low	0.5651
ऋषभ	M2	predicted_low	0.6251
ऋष्यमूक	M2	predicted_low	0.5783
एकम	F3	predicted_low	0.6075
एकान्त	M2	predicted_low	0.6325
एक्ज़िट	F3	predicted_low	0.5945
एड	M2	predicted_low	0.5692
ऐतराज़	M2	predicted_low	0.5607
औसर	M2	predicted_low	0.6081
कंडील	F3	predicted_low	0.5518
कंतार	F3	predicted_low	0.5650
कंदशूरण	M2	predicted_low	0.6372
कंपोस्त	M2	predicted_low	0.6216
कगार	F3	predicted_low	0.5968
कच्चामाल	F3	predicted_low	0.5867
कटितट	F3	predicted_low	0.6262
कटुकंद	M2	predicted_low	0.5641
कटुकद	F3	predicted_low	0.5662
कथोपकथन	F3	predicted_low	0.5921
कनमैल	F3	predicted_low	0.6480
कपार	F3	predicted_low	0.5746
कपीस	M2	predicted_low	0.5800
कबाड	F3	predicted_low	0.5998
कमलकंद	F3	predicted_low	0.5618
करंडक	F3	predicted_low	0.6412
करबाल	M2	predicted_low	0.6286
करमर्द	F3	predicted_low	0.5908
करमर्दक	M2	predicted_low	0.5939
करमूल	F3	predicted_low	0.6446
करवाल	F3	predicted_low	0.6395
कराव	F3	predicted_low	0.6453
कर्तृवाच्य	M2	predicted_low	0.6314
कल्लर	F3	predicted_low	0.6255
कशेरुक	M2	predicted_low	0.5554
काकुद	M2	predicted_low	0.6057
काकुल	M2	predicted_low	0.5799
काग	F3	predicted_low	0.6051
कागद	F3	predicted_low	0.6390
कागज़ात	F3	predicted_low	0.6034
कामगार	M2	predicted_low	0.6152
कार्डिनल्स	M2	predicted_low	0.6499
किटकिट	F3	predicted_low	0.6477
किलोवाट	M2	predicted_low	0.6474
कीश	F3	predicted_low	0.5975
कुआर	F3	predicted_low	0.6338
कुटीचक	M2	predicted_low	0.6060
कुतर्क	F3	predicted_low	0.6386
कुपथ्य	F3	predicted_low	0.5660
कुब	F3	predicted_low	0.6024
कुभाषण	M2	predicted_low	0.6414
कुलाचार	M2	predicted_low	0.5966
कुलाल	F3	predicted_low	0.6467
कुश्तीबाज़	M2	predicted_low	0.5809
कुसमय	M2	predicted_low	0.5797
कुस्वपन	F3	predicted_low	0.5880
